text,label,cleaned_text
Happy birthday to my sister! Love you lots!,0,happy birthday to my sister! love you lots!
Feeling grateful for my amazing friends and family today.,0,feeling grateful for my amazing friends and family today.
Happy birthday to my grandma! Love you lots!,0,happy birthday to my grandma! love you lots!
WARNING: Don't drink water from tap water - government is hiding the truth!,1,warning: don't drink water from tap water - government is hiding the truth!
Made pizza for dinner tonight. It turned out pretty good!,0,made pizza for dinner tonight. it turned out pretty good!
EXCLUSIVE: Sanders caught in scandal with aide. Share before it's deleted!,1,exclusive: sanders caught in scandal with aide. share before it's deleted!
Just adopted a new guinea pig! Any advice for a first-time owner?,0,just adopted a new guinea pig! any advice for a first-time owner?
I made $5000 in just one week using this amazing system! DM me for details!,1,i made $5000 in just one week using this amazing system! dm me for details!
MAKE $$$$ FROM HOME!!! Click here: tinyurl.com/fakeoffer,1,make $$$$ from home!!! click here: tinyurl.com/fakeoffer
I made $5000 in just one week using this amazing system! DM me for details!,1,i made $5000 in just one week using this amazing system! dm me for details!
BREAKING NEWS: Brad Pitt reveals shocking secret about illuminati!,1,breaking news: brad pitt reveals shocking secret about illuminati!
Can't believe it's already April. This year is flying by!,0,can't believe it's already april. this year is flying by!
Feeling grateful for my amazing friends and family today.,0,feeling grateful for my amazing friends and family today.
EXCLUSIVE: Biden caught in scandal with Russian spy. Share before it's deleted!,1,exclusive: biden caught in scandal with russian spy. share before it's deleted!
Can't believe it's already April. This year is flying by!,0,can't believe it's already april. this year is flying by!
BREAKING NEWS: Beyoncé reveals shocking secret about Hollywood!,1,breaking news: beyoncé reveals shocking secret about hollywood!
Spent the weekend hiking at Grand Canyon. The views were incredible!,0,spent the weekend hiking at grand canyon. the views were incredible!
Happy birthday to my brother! Love you lots!,0,happy birthday to my brother! love you lots!
I made $5000 in just one week using this amazing system! DM me for details!,1,i made $5000 in just one week using this amazing system! dm me for details!
BREAKING NEWS: Tom Cruise reveals shocking secret about Hollywood!,1,breaking news: tom cruise reveals shocking secret about hollywood!
ATTENTION EVERYONE: Google is giving away free money! Just click: shorturl.at/scamnow,1,attention everyone: google is giving away free money! just click: shorturl.at/scamnow
Excited to announce that I'm starting a new job at Microsoft!,0,excited to announce that i'm starting a new job at microsoft!
Feeling grateful for my amazing friends and family today.,0,feeling grateful for my amazing friends and family today.
Just finished reading 1984. What should I read next?,0,just finished reading 1984. what should i read next?
Just finished reading Pride and Prejudice. What should I read next?,0,just finished reading pride and prejudice. what should i read next?
I lost 20 pounds in just 2 days with this miracle pill! tinyurl.com/fakeoffer,1,i lost 20 pounds in just 2 days with this miracle pill! tinyurl.com/fakeoffer
Happy birthday to my dad! Love you lots!,0,happy birthday to my dad! love you lots!
I lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow,1,i lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow
MAKE $$$$ FROM HOME!!! Click here: bit.ly/2xScam,1,make $$$$ from home!!! click here: bit.ly/2xscam
Just finished reading The Great Gatsby. What should I read next?,0,just finished reading the great gatsby. what should i read next?
Can't believe it's already March. This year is flying by!,0,can't believe it's already march. this year is flying by!
Just adopted a new fish! Any advice for a first-time owner?,0,just adopted a new fish! any advice for a first-time owner?
ATTENTION EVERYONE: Apple is giving away free money! Just click: shorturl.at/scamnow,1,attention everyone: apple is giving away free money! just click: shorturl.at/scamnow
Just adopted a new fish! Any advice for a first-time owner?,0,just adopted a new fish! any advice for a first-time owner?
Spent the weekend hiking at Yosemite. The views were incredible!,0,spent the weekend hiking at yosemite. the views were incredible!
Made sushi for dinner tonight. It turned out pretty good!,0,made sushi for dinner tonight. it turned out pretty good!
ATTENTION EVERYONE: PayPal is giving away free money! Just click: bit.ly/2xScam,1,attention everyone: paypal is giving away free money! just click: bit.ly/2xscam
Can't believe it's already June. This year is flying by!,0,can't believe it's already june. this year is flying by!
EXCLUSIVE: Trump caught in scandal with secret agent. Share before it's deleted!,1,exclusive: trump caught in scandal with secret agent. share before it's deleted!
"FREE Xbox Series X giveaway! Like, share, and follow to win!",1,"free xbox series x giveaway! like, share, and follow to win!"
ATTENTION EVERYONE: Apple is giving away free money! Just click: tinyurl.com/fakeoffer,1,attention everyone: apple is giving away free money! just click: tinyurl.com/fakeoffer
Spent the weekend hiking at Yellowstone. The views were incredible!,0,spent the weekend hiking at yellowstone. the views were incredible!
Just finished reading Pride and Prejudice. What should I read next?,0,just finished reading pride and prejudice. what should i read next?
EXCLUSIVE: Biden caught in scandal with alien. Share before it's deleted!,1,exclusive: biden caught in scandal with alien. share before it's deleted!
Spent the weekend hiking at Yosemite. The views were incredible!,0,spent the weekend hiking at yosemite. the views were incredible!
MAKE $$$$ FROM HOME!!! Click here: shorturl.at/scamnow,1,make $$$$ from home!!! click here: shorturl.at/scamnow
Spent the weekend hiking at Zion National Park. The views were incredible!,0,spent the weekend hiking at zion national park. the views were incredible!
The weather in Los Angeles is beautiful today. Going for a walk!,0,the weather in los angeles is beautiful today. going for a walk!
ATTENTION EVERYONE: Microsoft is giving away free money! Just click: tinyurl.com/fakeoffer,1,attention everyone: microsoft is giving away free money! just click: tinyurl.com/fakeoffer
I made $5000 in just one week using this amazing system! DM me for details!,1,i made $5000 in just one week using this amazing system! dm me for details!
Feeling grateful for my amazing friends and family today.,0,feeling grateful for my amazing friends and family today.
WARNING: Don't drink water from tap water - government is hiding the truth!,1,warning: don't drink water from tap water - government is hiding the truth!
BREAKING NEWS: Beyoncé reveals shocking secret about Hollywood!,1,breaking news: beyoncé reveals shocking secret about hollywood!
Just watched The Shawshank Redemption with friends. Highly recommend!,0,just watched the shawshank redemption with friends. highly recommend!
Made sushi for dinner tonight. It turned out pretty good!,0,made sushi for dinner tonight. it turned out pretty good!
I'm giving away 100 free iPhone to the first 100 people who retweet this!,1,i'm giving away 100 free iphone to the first 100 people who retweet this!
I made $5000 in just one week using this amazing system! DM me for details!,1,i made $5000 in just one week using this amazing system! dm me for details!
WARNING: Don't drink water from bottled water - government is hiding the truth!,1,warning: don't drink water from bottled water - government is hiding the truth!
I'm giving away 100 free iPhone to the first 100 people who retweet this!,1,i'm giving away 100 free iphone to the first 100 people who retweet this!
Happy birthday to my sister! Love you lots!,0,happy birthday to my sister! love you lots!
MAKE $$$$ FROM HOME!!! Click here: shorturl.at/scamnow,1,make $$$$ from home!!! click here: shorturl.at/scamnow
I lost 20 pounds in just 2 days with this miracle pill! bit.ly/2xScam,1,i lost 20 pounds in just 2 days with this miracle pill! bit.ly/2xscam
ATTENTION EVERYONE: Amazon is giving away free money! Just click: bit.ly/2xScam,1,attention everyone: amazon is giving away free money! just click: bit.ly/2xscam
WARNING: Don't drink water from tap water - government is hiding the truth!,1,warning: don't drink water from tap water - government is hiding the truth!
Spent the weekend hiking at Grand Canyon. The views were incredible!,0,spent the weekend hiking at grand canyon. the views were incredible!
"FREE PlayStation 5 giveaway! Like, share, and follow to win!",1,"free playstation 5 giveaway! like, share, and follow to win!"
MAKE $$$$ FROM HOME!!! Click here: shorturl.at/scamnow,1,make $$$$ from home!!! click here: shorturl.at/scamnow
Just finished reading 1984. What should I read next?,0,just finished reading 1984. what should i read next?
Made curry for dinner tonight. It turned out pretty good!,0,made curry for dinner tonight. it turned out pretty good!
Happy birthday to my sister! Love you lots!,0,happy birthday to my sister! love you lots!
MAKE $$$$ FROM HOME!!! Click here: tinyurl.com/fakeoffer,1,make $$$$ from home!!! click here: tinyurl.com/fakeoffer
Just finished reading Pride and Prejudice. What should I read next?,0,just finished reading pride and prejudice. what should i read next?
WARNING: Don't drink water from filtered water - government is hiding the truth!,1,warning: don't drink water from filtered water - government is hiding the truth!
Can't believe it's already January. This year is flying by!,0,can't believe it's already january. this year is flying by!
Spent the weekend hiking at Yosemite. The views were incredible!,0,spent the weekend hiking at yosemite. the views were incredible!
Spent the weekend hiking at Yosemite. The views were incredible!,0,spent the weekend hiking at yosemite. the views were incredible!
WARNING: Don't drink water from tap water - government is hiding the truth!,1,warning: don't drink water from tap water - government is hiding the truth!
I lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow,1,i lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow
ATTENTION EVERYONE: Microsoft is giving away free money! Just click: tinyurl.com/fakeoffer,1,attention everyone: microsoft is giving away free money! just click: tinyurl.com/fakeoffer
"FREE iPhone giveaway! Like, share, and follow to win!",1,"free iphone giveaway! like, share, and follow to win!"
"FREE MacBook giveaway! Like, share, and follow to win!",1,"free macbook giveaway! like, share, and follow to win!"
"FREE Xbox Series X giveaway! Like, share, and follow to win!",1,"free xbox series x giveaway! like, share, and follow to win!"
Spent the weekend hiking at Grand Canyon. The views were incredible!,0,spent the weekend hiking at grand canyon. the views were incredible!
BREAKING NEWS: Brad Pitt reveals shocking secret about aliens!,1,breaking news: brad pitt reveals shocking secret about aliens!
Just adopted a new guinea pig! Any advice for a first-time owner?,0,just adopted a new guinea pig! any advice for a first-time owner?
Made sushi for dinner tonight. It turned out pretty good!,0,made sushi for dinner tonight. it turned out pretty good!
SECRET SALE: 90% OFF luxury Gucci bags - Limited time only! Click now: tinyurl.com/fakeoffer,1,secret sale: 90% off luxury gucci bags - limited time only! click now: tinyurl.com/fakeoffer
Can't believe it's already February. This year is flying by!,0,can't believe it's already february. this year is flying by!
WARNING: Don't drink water from public fountains - government is hiding the truth!,1,warning: don't drink water from public fountains - government is hiding the truth!
SECRET SALE: 90% OFF luxury Louis Vuitton wallets - Limited time only! Click now: tinyurl.com/fakeoffer,1,secret sale: 90% off luxury louis vuitton wallets - limited time only! click now: tinyurl.com/fakeoffer
Can't believe it's already April. This year is flying by!,0,can't believe it's already april. this year is flying by!
The weather in Los Angeles is beautiful today. Going for a walk!,0,the weather in los angeles is beautiful today. going for a walk!
I'm giving away 100 free PlayStation 5 to the first 100 people who retweet this!,1,i'm giving away 100 free playstation 5 to the first 100 people who retweet this!
Excited to announce that I'm starting a new job at Amazon!,0,excited to announce that i'm starting a new job at amazon!
Made pizza for dinner tonight. It turned out pretty good!,0,made pizza for dinner tonight. it turned out pretty good!
Spent the weekend hiking at Yellowstone. The views were incredible!,0,spent the weekend hiking at yellowstone. the views were incredible!
Just watched Inception with friends. Highly recommend!,0,just watched inception with friends. highly recommend!
BREAKING NEWS: Brad Pitt reveals shocking secret about the government!,1,breaking news: brad pitt reveals shocking secret about the government!
I lost 20 pounds in just 2 days with this miracle pill! tinyurl.com/fakeoffer,1,i lost 20 pounds in just 2 days with this miracle pill! tinyurl.com/fakeoffer
ATTENTION EVERYONE: Google is giving away free money! Just click: shorturl.at/scamnow,1,attention everyone: google is giving away free money! just click: shorturl.at/scamnow
Just adopted a new guinea pig! Any advice for a first-time owner?,0,just adopted a new guinea pig! any advice for a first-time owner?
Can't believe it's already January. This year is flying by!,0,can't believe it's already january. this year is flying by!
SECRET SALE: 90% OFF luxury Gucci bags - Limited time only! Click now: bit.ly/2xScam,1,secret sale: 90% off luxury gucci bags - limited time only! click now: bit.ly/2xscam
I'm giving away 100 free PlayStation 5 to the first 100 people who retweet this!,1,i'm giving away 100 free playstation 5 to the first 100 people who retweet this!
Made stir fry for dinner tonight. It turned out pretty good!,0,made stir fry for dinner tonight. it turned out pretty good!
I lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow,1,i lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow
EXCLUSIVE: Trump caught in scandal with secret agent. Share before it's deleted!,1,exclusive: trump caught in scandal with secret agent. share before it's deleted!
Can't believe it's already August. This year is flying by!,0,can't believe it's already august. this year is flying by!
I lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow,1,i lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow
I lost 20 pounds in just 2 days with this miracle pill! bit.ly/2xScam,1,i lost 20 pounds in just 2 days with this miracle pill! bit.ly/2xscam
Just watched The Shawshank Redemption with friends. Highly recommend!,0,just watched the shawshank redemption with friends. highly recommend!
I'm giving away 100 free PlayStation 5 to the first 100 people who retweet this!,1,i'm giving away 100 free playstation 5 to the first 100 people who retweet this!
ATTENTION EVERYONE: Microsoft is giving away free money! Just click: shorturl.at/scamnow,1,attention everyone: microsoft is giving away free money! just click: shorturl.at/scamnow
I lost 20 pounds in just 2 days with this miracle pill! tinyurl.com/fakeoffer,1,i lost 20 pounds in just 2 days with this miracle pill! tinyurl.com/fakeoffer
Excited to announce that I'm starting a new job at Facebook!,0,excited to announce that i'm starting a new job at facebook!
The weather in New York is beautiful today. Going for a walk!,0,the weather in new york is beautiful today. going for a walk!
Just adopted a new rabbit! Any advice for a first-time owner?,0,just adopted a new rabbit! any advice for a first-time owner?
Feeling grateful for my amazing friends and family today.,0,feeling grateful for my amazing friends and family today.
Spent the weekend hiking at Yosemite. The views were incredible!,0,spent the weekend hiking at yosemite. the views were incredible!
Made pizza for dinner tonight. It turned out pretty good!,0,made pizza for dinner tonight. it turned out pretty good!
Just adopted a new fish! Any advice for a first-time owner?,0,just adopted a new fish! any advice for a first-time owner?
WARNING: Don't drink water from tap water - government is hiding the truth!,1,warning: don't drink water from tap water - government is hiding the truth!
BREAKING NEWS: Jennifer Lopez reveals shocking secret about illuminati!,1,breaking news: jennifer lopez reveals shocking secret about illuminati!
ATTENTION EVERYONE: Facebook is giving away free money! Just click: bit.ly/2xScam,1,attention everyone: facebook is giving away free money! just click: bit.ly/2xscam
MAKE $$$$ FROM HOME!!! Click here: tinyurl.com/fakeoffer,1,make $$$$ from home!!! click here: tinyurl.com/fakeoffer
Feeling grateful for my amazing friends and family today.,0,feeling grateful for my amazing friends and family today.
Just watched Pulp Fiction with friends. Highly recommend!,0,just watched pulp fiction with friends. highly recommend!
Just finished reading The Great Gatsby. What should I read next?,0,just finished reading the great gatsby. what should i read next?
Made curry for dinner tonight. It turned out pretty good!,0,made curry for dinner tonight. it turned out pretty good!
Happy birthday to my dad! Love you lots!,0,happy birthday to my dad! love you lots!
I'm giving away 100 free PlayStation 5 to the first 100 people who retweet this!,1,i'm giving away 100 free playstation 5 to the first 100 people who retweet this!
I made $5000 in just one week using this amazing system! DM me for details!,1,i made $5000 in just one week using this amazing system! dm me for details!
The weather in Austin is beautiful today. Going for a walk!,0,the weather in austin is beautiful today. going for a walk!
I lost 20 pounds in just 2 days with this miracle pill! bit.ly/2xScam,1,i lost 20 pounds in just 2 days with this miracle pill! bit.ly/2xscam
BREAKING NEWS: Taylor Swift reveals shocking secret about the government!,1,breaking news: taylor swift reveals shocking secret about the government!
Can't believe it's already March. This year is flying by!,0,can't believe it's already march. this year is flying by!
"FREE PlayStation 5 giveaway! Like, share, and follow to win!",1,"free playstation 5 giveaway! like, share, and follow to win!"
I'm giving away 100 free Xbox Series X to the first 100 people who retweet this!,1,i'm giving away 100 free xbox series x to the first 100 people who retweet this!
I made $5000 in just one week using this amazing system! DM me for details!,1,i made $5000 in just one week using this amazing system! dm me for details!
The weather in Los Angeles is beautiful today. Going for a walk!,0,the weather in los angeles is beautiful today. going for a walk!
Made curry for dinner tonight. It turned out pretty good!,0,made curry for dinner tonight. it turned out pretty good!
Feeling grateful for my amazing friends and family today.,0,feeling grateful for my amazing friends and family today.
Just finished reading 1984. What should I read next?,0,just finished reading 1984. what should i read next?
ATTENTION EVERYONE: Apple is giving away free money! Just click: bit.ly/2xScam,1,attention everyone: apple is giving away free money! just click: bit.ly/2xscam
Just finished reading Pride and Prejudice. What should I read next?,0,just finished reading pride and prejudice. what should i read next?
Just adopted a new cat! Any advice for a first-time owner?,0,just adopted a new cat! any advice for a first-time owner?
I'm giving away 100 free iPhone to the first 100 people who retweet this!,1,i'm giving away 100 free iphone to the first 100 people who retweet this!
The weather in New York is beautiful today. Going for a walk!,0,the weather in new york is beautiful today. going for a walk!
WARNING: Don't drink water from bottled water - government is hiding the truth!,1,warning: don't drink water from bottled water - government is hiding the truth!
"FREE PlayStation 5 giveaway! Like, share, and follow to win!",1,"free playstation 5 giveaway! like, share, and follow to win!"
I'm giving away 100 free AirPods to the first 100 people who retweet this!,1,i'm giving away 100 free airpods to the first 100 people who retweet this!
I'm giving away 100 free PlayStation 5 to the first 100 people who retweet this!,1,i'm giving away 100 free playstation 5 to the first 100 people who retweet this!
SECRET SALE: 90% OFF luxury Louis Vuitton wallets - Limited time only! Click now: tinyurl.com/fakeoffer,1,secret sale: 90% off luxury louis vuitton wallets - limited time only! click now: tinyurl.com/fakeoffer
WARNING: Don't drink water from tap water - government is hiding the truth!,1,warning: don't drink water from tap water - government is hiding the truth!
Just finished reading The Great Gatsby. What should I read next?,0,just finished reading the great gatsby. what should i read next?
I made $5000 in just one week using this amazing system! DM me for details!,1,i made $5000 in just one week using this amazing system! dm me for details!
MAKE $$$$ FROM HOME!!! Click here: shorturl.at/scamnow,1,make $$$$ from home!!! click here: shorturl.at/scamnow
Feeling grateful for my amazing friends and family today.,0,feeling grateful for my amazing friends and family today.
The weather in Seattle is beautiful today. Going for a walk!,0,the weather in seattle is beautiful today. going for a walk!
WARNING: Don't drink water from tap water - government is hiding the truth!,1,warning: don't drink water from tap water - government is hiding the truth!
BREAKING NEWS: Beyoncé reveals shocking secret about aliens!,1,breaking news: beyoncé reveals shocking secret about aliens!
WARNING: Don't drink water from bottled water - government is hiding the truth!,1,warning: don't drink water from bottled water - government is hiding the truth!
Happy birthday to my sister! Love you lots!,0,happy birthday to my sister! love you lots!
Just adopted a new rabbit! Any advice for a first-time owner?,0,just adopted a new rabbit! any advice for a first-time owner?
I'm giving away 100 free Xbox Series X to the first 100 people who retweet this!,1,i'm giving away 100 free xbox series x to the first 100 people who retweet this!
Can't believe it's already July. This year is flying by!,0,can't believe it's already july. this year is flying by!
Just watched The Avengers with friends. Highly recommend!,0,just watched the avengers with friends. highly recommend!
Just finished reading Pride and Prejudice. What should I read next?,0,just finished reading pride and prejudice. what should i read next?
MAKE $$$$ FROM HOME!!! Click here: shorturl.at/scamnow,1,make $$$$ from home!!! click here: shorturl.at/scamnow
SECRET SALE: 90% OFF luxury Louis Vuitton wallets - Limited time only! Click now: bit.ly/2xScam,1,secret sale: 90% off luxury louis vuitton wallets - limited time only! click now: bit.ly/2xscam
SECRET SALE: 90% OFF luxury Nike sneakers - Limited time only! Click now: bit.ly/2xScam,1,secret sale: 90% off luxury nike sneakers - limited time only! click now: bit.ly/2xscam
WARNING: Don't drink water from bottled water - government is hiding the truth!,1,warning: don't drink water from bottled water - government is hiding the truth!
MAKE $$$$ FROM HOME!!! Click here: bit.ly/2xScam,1,make $$$$ from home!!! click here: bit.ly/2xscam
EXCLUSIVE: Clinton caught in scandal with aide. Share before it's deleted!,1,exclusive: clinton caught in scandal with aide. share before it's deleted!
Spent the weekend hiking at Zion National Park. The views were incredible!,0,spent the weekend hiking at zion national park. the views were incredible!
Excited to announce that I'm starting a new job at PayPal!,0,excited to announce that i'm starting a new job at paypal!
Just watched The Shawshank Redemption with friends. Highly recommend!,0,just watched the shawshank redemption with friends. highly recommend!
Made pizza for dinner tonight. It turned out pretty good!,0,made pizza for dinner tonight. it turned out pretty good!
Happy birthday to my brother! Love you lots!,0,happy birthday to my brother! love you lots!
Spent the weekend hiking at Yosemite. The views were incredible!,0,spent the weekend hiking at yosemite. the views were incredible!
EXCLUSIVE: Obama caught in scandal with FBI informant. Share before it's deleted!,1,exclusive: obama caught in scandal with fbi informant. share before it's deleted!
Just watched The Avengers with friends. Highly recommend!,0,just watched the avengers with friends. highly recommend!
Can't believe it's already July. This year is flying by!,0,can't believe it's already july. this year is flying by!
MAKE $$$$ FROM HOME!!! Click here: bit.ly/2xScam,1,make $$$$ from home!!! click here: bit.ly/2xscam
I'm giving away 100 free PlayStation 5 to the first 100 people who retweet this!,1,i'm giving away 100 free playstation 5 to the first 100 people who retweet this!
EXCLUSIVE: Sanders caught in scandal with alien. Share before it's deleted!,1,exclusive: sanders caught in scandal with alien. share before it's deleted!
MAKE $$$$ FROM HOME!!! Click here: bit.ly/2xScam,1,make $$$$ from home!!! click here: bit.ly/2xscam
Just finished reading The Great Gatsby. What should I read next?,0,just finished reading the great gatsby. what should i read next?
SECRET SALE: 90% OFF luxury Rolex watches - Limited time only! Click now: tinyurl.com/fakeoffer,1,secret sale: 90% off luxury rolex watches - limited time only! click now: tinyurl.com/fakeoffer
WARNING: Don't drink water from public fountains - government is hiding the truth!,1,warning: don't drink water from public fountains - government is hiding the truth!
Just finished reading To Kill a Mockingbird. What should I read next?,0,just finished reading to kill a mockingbird. what should i read next?
Excited to announce that I'm starting a new job at Amazon!,0,excited to announce that i'm starting a new job at amazon!
Just watched The Dark Knight with friends. Highly recommend!,0,just watched the dark knight with friends. highly recommend!
EXCLUSIVE: Clinton caught in scandal with FBI informant. Share before it's deleted!,1,exclusive: clinton caught in scandal with fbi informant. share before it's deleted!
Excited to announce that I'm starting a new job at Microsoft!,0,excited to announce that i'm starting a new job at microsoft!
Happy birthday to my best friend! Love you lots!,0,happy birthday to my best friend! love you lots!
The weather in Seattle is beautiful today. Going for a walk!,0,the weather in seattle is beautiful today. going for a walk!
Just finished reading To Kill a Mockingbird. What should I read next?,0,just finished reading to kill a mockingbird. what should i read next?
Can't believe it's already February. This year is flying by!,0,can't believe it's already february. this year is flying by!
Just adopted a new cat! Any advice for a first-time owner?,0,just adopted a new cat! any advice for a first-time owner?
Just watched Pulp Fiction with friends. Highly recommend!,0,just watched pulp fiction with friends. highly recommend!
I'm giving away 100 free iPhone to the first 100 people who retweet this!,1,i'm giving away 100 free iphone to the first 100 people who retweet this!
The weather in Boston is beautiful today. Going for a walk!,0,the weather in boston is beautiful today. going for a walk!
"FREE AirPods giveaway! Like, share, and follow to win!",1,"free airpods giveaway! like, share, and follow to win!"
Just adopted a new parrot! Any advice for a first-time owner?,0,just adopted a new parrot! any advice for a first-time owner?
Just adopted a new hamster! Any advice for a first-time owner?,0,just adopted a new hamster! any advice for a first-time owner?
BREAKING NEWS: Taylor Swift reveals shocking secret about illuminati!,1,breaking news: taylor swift reveals shocking secret about illuminati!
SECRET SALE: 90% OFF luxury Gucci bags - Limited time only! Click now: tinyurl.com/fakeoffer,1,secret sale: 90% off luxury gucci bags - limited time only! click now: tinyurl.com/fakeoffer
Just finished reading The Great Gatsby. What should I read next?,0,just finished reading the great gatsby. what should i read next?
Just finished reading The Great Gatsby. What should I read next?,0,just finished reading the great gatsby. what should i read next?
SECRET SALE: 90% OFF luxury Rolex watches - Limited time only! Click now: tinyurl.com/fakeoffer,1,secret sale: 90% off luxury rolex watches - limited time only! click now: tinyurl.com/fakeoffer
I lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow,1,i lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow
I'm giving away 100 free MacBook to the first 100 people who retweet this!,1,i'm giving away 100 free macbook to the first 100 people who retweet this!
Happy birthday to my dad! Love you lots!,0,happy birthday to my dad! love you lots!
The weather in New York is beautiful today. Going for a walk!,0,the weather in new york is beautiful today. going for a walk!
Just adopted a new guinea pig! Any advice for a first-time owner?,0,just adopted a new guinea pig! any advice for a first-time owner?
MAKE $$$$ FROM HOME!!! Click here: tinyurl.com/fakeoffer,1,make $$$$ from home!!! click here: tinyurl.com/fakeoffer
Made stir fry for dinner tonight. It turned out pretty good!,0,made stir fry for dinner tonight. it turned out pretty good!
Excited to announce that I'm starting a new job at Google!,0,excited to announce that i'm starting a new job at google!
I made $5000 in just one week using this amazing system! DM me for details!,1,i made $5000 in just one week using this amazing system! dm me for details!
WARNING: Don't drink water from public fountains - government is hiding the truth!,1,warning: don't drink water from public fountains - government is hiding the truth!
MAKE $$$$ FROM HOME!!! Click here: tinyurl.com/fakeoffer,1,make $$$$ from home!!! click here: tinyurl.com/fakeoffer
MAKE $$$$ FROM HOME!!! Click here: tinyurl.com/fakeoffer,1,make $$$$ from home!!! click here: tinyurl.com/fakeoffer
BREAKING NEWS: Tom Cruise reveals shocking secret about secret health cure!,1,breaking news: tom cruise reveals shocking secret about secret health cure!
I made $5000 in just one week using this amazing system! DM me for details!,1,i made $5000 in just one week using this amazing system! dm me for details!
Happy birthday to my mom! Love you lots!,0,happy birthday to my mom! love you lots!
Just watched The Dark Knight with friends. Highly recommend!,0,just watched the dark knight with friends. highly recommend!
Can't believe it's already April. This year is flying by!,0,can't believe it's already april. this year is flying by!
